"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.024457890E-1,-1.050000079E-3,-1.080000028E-1,9.874950409E0,9.875541032E0
3.049564810E-1,3.405000269E-2,-9.105000645E-2,9.898950577E0,9.899427864E0
3.074697890E-1,1.695000008E-2,-8.400000632E-2,9.850950241E0,9.851322955E0
3.099777140E-1,2.595000155E-2,-1.390500069E-1,9.829950333E0,9.830968002E0
3.124882600E-1,3.105000220E-2,-6.705000252E-2,9.847050667E0,9.847327893E0
3.149989530E-1,7.050000131E-3,-1.170000061E-1,9.850950241E0,9.851647545E0
3.175121830E-1,7.050000131E-3,-9.795000404E-2,9.808050156E0,9.808541775E0
3.200201850E-1,4.950000439E-3,-9.105000645E-2,9.808050156E0,9.808474013E0
3.225307120E-1,1.005000062E-2,-7.395000011E-2,9.847050667E0,9.847333468E0
3.250414040E-1,7.050000131E-3,-7.905000448E-2,9.873000145E0,9.873319121E0
3.275547120E-1,7.050000131E-3,-1.009500027E-1,9.804000854E0,9.804523107E0
3.300626370E-1,1.005000062E-2,-9.105000645E-2,9.799050331E0,9.799478481E0
3.325731730E-1,4.095000029E-2,-6.195000187E-2,9.861000061E0,9.861279679E0
3.350838620E-1,2.895000204E-2,-9.105000645E-2,9.841950417E0,9.842414145E0
3.375970920E-1,-7.950000465E-3,-7.905000448E-2,9.811050415E0,9.811372093E0
3.401050940E-1,3.105000220E-2,-6.900000572E-2,9.853950500E0,9.854240994E0
3.426156310E-1,2.205000073E-2,-8.595000207E-2,9.904050827E0,9.904448313E0
3.451263080E-1,-1.605000161E-2,-7.200000435E-2,9.883050919E0,9.883326215E0
3.476396160E-1,3.000000026E-3,-1.050000042E-1,9.793950081E0,9.794513372E0
3.501475410E-1,1.395000052E-2,-1.009500027E-1,9.832050323E0,9.832578455E0
3.526580770E-1,2.895000204E-2,-7.200000435E-2,9.913950920E0,9.914254634E0
3.551687800E-1,-3.495000303E-2,-5.700000376E-2,9.885000229E0,9.885226352E0
3.576820870E-1,1.395000052E-2,-7.695000619E-2,9.813000679E0,9.813312297E0
3.601900130E-1,2.595000155E-2,-7.695000619E-2,9.820050240E0,9.820386011E0
3.627005490E-1,4.095000029E-2,-1.030500084E-1,9.885000229E0,9.885622172E0
3.652112410E-1,1.905000024E-2,-9.300000221E-2,9.880050659E0,9.880506714E0
3.677245490E-1,-1.305000018E-2,-2.400000021E-2,9.808050156E0,9.808088201E0
3.702324740E-1,1.395000052E-2,-6.900000572E-2,9.805950165E0,9.806202845E0
3.727429340E-1,7.050000131E-3,-6.195000187E-2,9.862950325E0,9.863147399E0
