"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.023362520E-1,1.200000010E-2,4.594050407E0,8.668950081E0,9.811021285E0
7.048467110E-1,-3.705000132E-2,4.591050148E0,8.664000511E0,9.805305657E0
7.073571680E-1,1.200000010E-2,4.584000111E0,8.664000511E0,9.801943984E0
7.098706290E-1,0.000000000E0,4.588950157E0,8.676000595E0,9.814858627E0
7.123783230E-1,4.950000439E-3,4.606050014E0,8.632950783E0,9.784863845E0
7.148887830E-1,4.950000439E-3,4.591050148E0,8.608950615E0,9.756628345E0
7.173993170E-1,1.395000052E-2,4.627050400E0,8.680950165E0,9.837107592E0
7.199125470E-1,1.695000008E-2,4.621950150E0,8.656949997E0,9.813536250E0
7.224204720E-1,3.405000269E-2,4.597949982E0,8.665950775E0,9.810250062E0
7.249309320E-1,4.305000231E-2,4.618050098E0,8.700000763E0,9.849784429E0
7.274413740E-1,1.200000010E-2,4.588950157E0,8.688000679E0,9.825475222E0
7.299546820E-1,3.405000269E-2,4.594050407E0,8.673000336E0,9.814651974E0
7.324623760E-1,7.050000131E-3,4.582050323E0,8.652000427E0,9.790421148E0
7.349728360E-1,-7.950000465E-3,4.603050232E0,8.680950165E0,9.825834845E0
7.374835140E-1,4.095000029E-2,4.606050014E0,8.644950867E0,9.795537205E0
7.399967450E-1,2.895000204E-2,4.620000362E0,8.676000595E0,9.829457146E0
7.425045160E-1,-1.095000096E-2,4.636950016E0,8.668950081E0,9.831181051E0
7.450149760E-1,2.205000073E-2,4.603050232E0,8.665950775E0,9.812607221E0
7.475254220E-1,2.400000021E-2,4.597949982E0,8.683050156E0,9.825328495E0
7.500388840E-1,0.000000000E0,4.575000286E0,8.659049988E0,9.793353578E0
7.525465780E-1,-1.305000018E-2,4.627050400E0,8.688000679E0,9.843328782E0
7.550571150E-1,1.905000024E-2,4.615050316E0,8.683050156E0,9.833331700E0
7.575675760E-1,4.800000042E-2,4.612950325E0,8.701950073E0,9.849139545E0
7.600808120E-1,3.000000026E-3,4.615050316E0,8.653950691E0,9.807627694E0
7.625887370E-1,1.395000052E-2,4.576950073E0,8.665950775E0,9.800375983E0
7.650991970E-1,-1.800000109E-2,4.597949982E0,8.665950775E0,9.810207484E0
7.676096580E-1,2.400000021E-2,4.612950325E0,8.707050323E0,9.853558344E0
7.701229660E-1,2.205000073E-2,4.575000286E0,8.692950249E0,9.823364894E0
7.726306600E-1,0.000000000E0,4.597949982E0,8.685000420E0,9.827022760E0
7.751411200E-1,4.605000094E-2,4.591050148E0,8.673000336E0,9.813296943E0
7.776518120E-1,4.950000439E-3,4.587000370E0,8.652000427E0,9.792737528E0
7.801650430E-1,1.695000008E-2,4.612950325E0,8.632950783E0,9.788127360E0
7.826728140E-1,-1.050000079E-3,4.591050148E0,8.671050072E0,9.811465329E0
7.851832740E-1,1.395000052E-2,4.579050064E0,8.676000595E0,9.810243647E0
7.876937350E-1,2.400000021E-2,4.582050323E0,8.664000511E0,9.801054332E0
7.902071920E-1,3.405000269E-2,4.594050407E0,8.647050858E0,9.791728503E0
7.927148860E-1,1.905000024E-2,4.591050148E0,8.652000427E0,9.794652406E0
7.952254230E-1,7.050000131E-3,4.597949982E0,8.671050072E0,9.814698318E0
7.977358840E-1,2.400000021E-2,4.608000278E0,8.644950867E0,9.796398218E0
8.002491150E-1,-1.050000079E-3,4.594050407E0,8.650050163E0,9.794318153E0
8.027570550E-1,-2.805000171E-2,4.612950325E0,8.656949997E0,9.809326213E0
8.052675910E-1,1.395000052E-2,4.609950066E0,8.647050858E0,9.799149083E0
8.077779760E-1,2.895000204E-2,4.588950157E0,8.652000427E0,9.793692513E0
8.102912840E-1,3.405000269E-2,4.582050323E0,8.652000427E0,9.790477821E0
8.127989780E-1,3.105000220E-2,4.587000370E0,8.629950523E0,9.773309702E0
8.153096680E-1,1.200000010E-2,4.600950241E0,8.638050079E0,9.786970741E0
8.178201300E-1,1.695000008E-2,4.608000278E0,8.664000511E0,9.813198191E0
8.203333610E-1,-4.050000105E-3,4.591050148E0,8.676000595E0,9.815841492E0
8.228411170E-1,-1.800000109E-2,4.627050400E0,8.676000595E0,9.832746601E0
8.253515760E-1,2.400000021E-2,4.618050098E0,8.640000343E0,9.796763172E0
8.278622690E-1,1.695000008E-2,4.587000370E0,8.616000175E0,9.760958904E0
8.303755000E-1,7.050000131E-3,4.600950241E0,8.671050072E0,9.816104226E0
8.328831940E-1,0.000000000E0,4.603050232E0,8.695050240E0,9.838291016E0
8.353937400E-1,0.000000000E0,4.633950233E0,8.640000343E0,9.804238915E0
8.379042020E-1,0.000000000E0,4.608000278E0,8.656949997E0,9.806959254E0
8.404174330E-1,1.395000052E-2,4.633950233E0,8.680950165E0,9.840354929E0
8.429253580E-1,-1.305000018E-2,4.596000195E0,8.653950691E0,9.798686170E0
8.454358070E-1,7.050000131E-3,4.600950241E0,8.671050072E0,9.816104226E0
8.479463460E-1,1.395000052E-2,4.609950066E0,8.668950081E0,9.818478992E0
